Predicted Winner,Underdog
Xavier,Villanova
Creighton,Florida
SMU,Northwestern LA
Delaware,Providence
Stonehill,Boston Univ
Georgia Tech,Iona
American Univ,Drexel
Boise St,Winthrop
Loyola MD,Lehigh
Queens NC,WKU
Pacific,Winthrop
Cornell,Tarleton St
Vermont,Colorado St
Weber St,Fairfield
South Carolina,Miami FL
Texas A&M,Howard
Dartmouth,DePaul
North Florida,S Dakota St
Dartmouth,Ohio St
UAB,Hawaii
UT San Antonio,Texas
Okla City,Florida Intl
Georgia Tech,Bucknell
Long Beach St,MS Valley St
Louisiana,Temple
Utica,Longwood
William & Mary,F Dickinson
Morris Brown,Virginia Tech
St Francis PA,Auburn
Georgia,MA Lowell
East Texas A&M,St Louis
WI Milwaukee,South Florida
BYU,Maryland
UC Irvine,Morehead St
Georgia,Butler
Merrimack,Oregon St
American Univ,Buffalo
Michigan,Hampton
TN Martin,Queens NC
Liberty,Evansville
UCLA,Savannah St
Abilene Chr,TN Martin
Boston College,Oral Roberts
James Madison,CS Northridge
Tennessee Tech,Brown
Holy Cross,Clemson
UNC Greensboro,Fordham
Mercyhurst,F Dickinson
Minnesota,East Carolina
Army,Indiana
Kansas,Cincinnati
UT San Antonio,WI Milwaukee
Mt St Mary's,TCU
Georgetown,Fairfield
Seattle,Kent
FGCU,St Bonaventure
Oakland,Yale
Wofford,SC Upstate
Jackson St,Wichita St
Mississippi,Air Force
E Michigan,Notre Dame
Wofford,Long Beach St
Purdue,Iowa St
W Michigan,Alabama St
Pittsburgh,Grambling
Charlotte,St Mary's CA
Morgan St,Drexel
Nebraska,WKU
Duquesne,Chicago St
Georgia St,C Michigan
Seton Hall,UNC Greensboro
G Washington,Penn St
Ga Southern,Kent
San Jose St,Brooklyn
Kent,Jackson St
Valparaiso,Lehigh
Morgan St,Kent
San Francisco,San Diego
Richmond,Detroit
Utah Tech,South Dakota
Pepperdine,St Peter's
Wagner,Montana
Detroit,Texas A&M
Fresno St,Pittsburgh
Arkansas,LSU
Chattanooga,Radford
Siena,Centenary
Loyola MD,St Peter's
St Francis PA,Wisconsin
Cent Arkansas,Jacksonville
Wisconsin,SE Louisiana
UCLA,Liberty
Virginia Tech,Brooklyn
St Bonaventure,Houston
Denver,La Salle
Northeastern,Colorado
Sacred Heart,G Washington
Tennessee St,New Hampshire
Louisiana,Dartmouth
Miami FL,UNLV
Georgetown,Harvard
Southern Univ,W Michigan
PFW,North Texas
NE Omaha,Bowling Green
Syracuse,Presbyterian
Tulsa,UCF
Virginia Tech,Augusta
Monmouth NJ,Valparaiso
St Peter's,San Diego St
Clemson,Towson
UC San Diego,Mt St Mary's
East Carolina,Miami OH
Robert Morris,Providence
ULM,Morgan St
Lipscomb,Colorado
Monmouth NJ,Charleston So
San Jose St,Colorado St
La Salle,Lindenwood
Ark Pine Bluff,NC State
Portland,Cincinnati
High Point,Radford
Liberty,Hofstra
Jackson St,Rider
UAB,NJIT
SMU,Tarleton St
UNC Asheville,Utah St
Hardin-Simmons,James Madison
NJIT,Bowling Green
NC State,Hartford
Southern Utah,Montana St
Charlotte,Valparaiso
Lindenwood,South Alabama
UNC Wilmington,Marquette
S Dakota St,Binghamton
Michigan St,FL Atlantic
Coppin St,Utica
UNC Wilmington,North Alabama
West Virginia,Miami FL
Norfolk St,Ohio St
Lafayette,Columbia
Marquette,NJIT
Lafayette,Hartford
New Hampshire,McNeese St
Delaware,Loyola MD
Arizona St,Air Force
Harvard,Southern Univ
Campbell,Hofstra
Hardin-Simmons,Georgia Tech
Utah Valley,Delaware St
St Mary's CA,Long Beach St
Elon,Lipscomb
Ark Little Rock,Ga Southern
G Washington,Akron
Davidson,Furman
American Univ,St Peter's
Manhattan,Appalachian St
East Carolina,Georgia
N Illinois,Ga Southern
Oral Roberts,W Carolina
Temple,Hartford
Hofstra,Northern Arizona
Binghamton,MS Valley St
Ball St,Detroit
N Colorado,High Point
Iowa,Boston Univ
California,Princeton
Idaho St,Coastal Car
N Dakota St,Syracuse
Kennesaw,Idaho
Delaware,Cincinnati
Drexel,Richmond
VMI,Wake Forest
BYU,Southern Univ
Hampton,Penn
Belmont,South Carolina
Miami OH,UNC Wilmington
UT San Antonio,Bucknell
Duke,Bellarmine
UNC Asheville,East Carolina
WI Milwaukee,St Joseph's PA
Illinois,Kansas
UC Davis,Valparaiso
Longwood,San Diego
Marist,NE Illinois
Old Dominion,UNLV
Belmont,UC San Diego
South Alabama,Winthrop
Abilene Chr,St Francis NY
San Diego St,Santa Clara
Houston Chr,Presbyterian
Utah Valley,Oral Roberts
Lehigh,San Francisco
Arizona St,Bradley
Kennesaw,Longwood
Hartford,McNeese St
New Mexico,East Carolina
St Thomas MN,Liberty
PFW,Abilene Chr
Illinois St,Northern Arizona
Maine,Charlotte
TN Martin,N Dakota St
Wake Forest,PFW
Michigan,New Hampshire
Boston Univ,Ark Little Rock
Jacksonville St,E Washington
St Bonaventure,Air Force
Pepperdine,San Francisco
USC,Miami OH
Alliant Intl,Murray St
Utah Tech,North Texas
St John's,W Carolina
Siena,SE Louisiana
Arizona,Loyola MD
Washington St,MD E Shore
Northern Iowa,Portland
St Francis PA,Arkansas St
Gonzaga,Stanford
Oregon St,Evansville
High Point,Michigan St
Jacksonville,Howard
Furman,Col Charleston
Stanford,USC
Brooklyn,Maryland
UC Riverside,Oklahoma St
CS Bakersfield,Purdue
Oregon St,Louisiana Tech
Merrimack,Bryant
Appalachian St,Hardin-Simmons
VMI,Connecticut
Buffalo,Arkansas
Princeton,Denver
Cornell,Butler
Chicago St,Stonehill
Denver,Towson
Buffalo,Marquette
Loyola MD,Washington St
Minnesota,Bowling Green
Yale,Belmont
George Mason,Oklahoma St
N Colorado,VMI
Ga Southern,Air Force
SE Louisiana,TN Martin
Boston College,St Thomas MN
UCF,Dartmouth
St Joseph's PA,San Jose St
South Dakota,Augusta
Kansas St,Tulane
High Point,MD E Shore
Tulsa,Michigan St
Stetson,Elon
W Michigan,Montana
Santa Clara,St Francis PA
Kennesaw,Virginia
Texas,Bethune-Cookman
IL Chicago,Utah Valley
Drake,N Dakota St
Wright St,Richmond
Pittsburgh,Alabama
Ohio,Brown
Toledo,Monmouth NJ
Kansas,Boise St
Louisiana Tech,Cal Baptist
Richmond,Rutgers
Oral Roberts,Northwestern LA
Minnesota,Virginia Tech
California,Harvard
Texas,W Michigan
Duke,Oregon
UC San Diego,Washington
Stony Brook,Penn St
SUNY Albany,Northern Iowa
North Florida,W Texas A&M
Charlotte,W Carolina
St John's,Michigan St
Siena,Charleston So
Binghamton,Illinois
SIUE,Southern Miss
South Carolina,Idaho St
Drake,VCU
Maryland,East Texas A&M
Evansville,UC Santa Barbara
Quinnipiac,VMI
Ga Southern,C Michigan
E Washington,Kentucky
Chattanooga,Ark Pine Bluff
Quinnipiac,William & Mary
UC Davis,Drexel
Cleveland St,Penn
NC Central,UC Irvine
Chicago St,BYU
Utica,Iona
Marquette,St Mary's CA
Central Conn,Iona
East Carolina,Tennessee
Princeton,UNC Wilmington
Loy Marymount,Kansas
Texas,Stony Brook
ETSU,UC Irvine
Quinnipiac,Nicholls St
Col Charleston,TX Southern
Cal Baptist,Richmond
IL Chicago,North Dakota
Winthrop,ETSU
Loy Marymount,Loyola-Chicago
Utah Valley,West Virginia
UTEP,Tulane
UT Arlington,Detroit
McNeese St,Charlotte
Miami OH,UT Arlington
Rider,Utah
Bellarmine,N Illinois
W Texas A&M,NE Omaha
Savannah St,Yale
Rider,UTEP
Coppin St,Grambling
Oakland,FGCU
Columbia,Utah Tech
Wright St,Valparaiso
NC State,San Diego
Kansas St,Drexel
St Joseph's PA,Boston Univ
Clemson,Yale
Alcorn St,Colorado
Chattanooga,Ga Southern
W Michigan,Prairie View
LIU Brooklyn,Rice
Presbyterian,West Georgia
Iowa St,Howard
West Georgia,Bethune-Cookman
Washington,Georgia St
Texas A&M,Kansas St
Troy,Denver
Armstrong St,Queens NC
UTRGV,Toledo
West Georgia,Duquesne
Ball St,N Colorado
N Kentucky,Butler
Tennessee St,Miami FL
UC Santa Barbara,Delaware
Tulsa,Louisiana Tech
St John's,Florida
High Point,Chattanooga
W Salem St,Hardin-Simmons
TN Martin,Utah Valley
Montana,MTSU
NC State,VCU
W Carolina,Louisiana Tech
Jacksonville,Northern Iowa
Columbia,Southern Miss
Providence,Richmond
Morehead St,Texas St
Utah St,Army
American Univ,UNC Asheville
St Mary's CA,Colorado St
USC,MD E Shore
Wisconsin,Pacific
Minnesota,Wofford
Ark Pine Bluff,WI Milwaukee
Ohio,New Mexico
Missouri KC,North Carolina
Tarleton St,Santa Clara
TN Martin,Rhode Island
WI Green Bay,E Kentucky
VMI,W Michigan
Towson,WI Green Bay
William & Mary,DePaul
Canisius,Texas Tech
PFW,Utah St
Virginia,Oregon St
Jacksonville,Oregon
W Carolina,Elon
TX Southern,Binghamton
LSU,MTSU
UNC Greensboro,Bryant
WI Milwaukee,G Washington
Lindenwood,Texas
Lafayette,Providence
Binghamton,Grambling
South Florida,MD E Shore
Marshall,Memphis
Southern Miss,SC Upstate
Creighton,Princeton
UC Riverside,Kentucky
Boston Univ,Creighton
Longwood,Vanderbilt
San Francisco,Le Moyne
Boston Univ,St Peter's
Iowa,Manhattan
Mercyhurst,Bucknell
St Bonaventure,Maryland
Clemson,Colorado
BYU,SE Missouri St
Stony Brook,Virginia
MTSU,Providence
Arkansas St,Wyoming
Michigan,Southern Univ
Long Beach St,Birmingham So
MA Lowell,Bryant
Gardner Webb,Michigan
SE Louisiana,Dayton
Norfolk St,TAM C. Christi
Bowling Green,UT Arlington
ETSU,W Michigan
Army,La Salle
Ball St,Detroit
Georgia St,Jacksonville
G Washington,NC Central
Lehigh,St Francis PA
Tarleton St,Auburn
North Texas,Hofstra
Coastal Car,NE Illinois
McNeese St,Canisius
George Mason,Centenary
Charlotte,Troy
Kentucky,Merrimack
Morris Brown,Davidson
E Kentucky,Yale
Sam Houston St,Marquette
St Joseph's PA,Oregon St
Montana,Manhattan
Valparaiso,Villanova
Oral Roberts,Brown
UNLV,Hofstra
Alabama St,Weber St
Manhattan,High Point
Towson,Austin Peay
Stanford,St Francis NY
Drexel,S Carolina St
Iowa St,Stanford
Stetson,CS Fullerton
Quinnipiac,Duquesne
Furman,Holy Cross
South Dakota,Villanova
Syracuse,Georgia Tech
Okla City,SC Upstate
Pacific,Gonzaga
Utah Tech,LIU Brooklyn
Delaware St,Troy
Boise St,Birmingham So
Appalachian St,Michigan St
Hampton,Norfolk St
Columbia,St Louis
Sam Houston St,Texas St
Utica,Yale
NC Central,Youngstown St
Gonzaga,Louisiana Tech
Marist,Winthrop
Furman,Penn
Georgia,Columbia
Notre Dame,New Hampshire
Pepperdine,Chattanooga
Kentucky,Radford
San Jose St,Dayton
South Alabama,UC San Diego
Portland St,Utah St
MS Valley St,Evansville
Georgia,Niagara
SMU,Charlotte
Oakland,MTSU
La Salle,Wake Forest
SUNY Albany,Texas St
Arizona,Abilene Chr
Jackson St,MS Valley St
Southern Utah,S Dakota St
Sam Houston St,Cal Poly
South Dakota,Kentucky
Utah Valley,Colorado St
Colgate,Miami OH
Merrimack,Ohio St
Princeton,Syracuse
Air Force,Utah St
S Carolina St,N Illinois
LIU Brooklyn,Santa Clara
TCU,Idaho St
Ball St,Citadel
Alcorn St,Purdue
Belmont,Duke
Marquette,Harvard
Bethune-Cookman,BYU
Northern Arizona,Bethune-Cookman
Fresno St,Ball St
Bradley,Maine
Hampton,Seattle
Harvard,Coppin St
UCLA,Massachusetts
Georgia St,Missouri St
Utah St,Old Dominion
Rider,Army
S Carolina St,Massachusetts
W Illinois,Northwestern LA
Nicholls St,Alabama
Lindenwood,MS Valley St
Missouri St,Seton Hall
Morehead St,G Washington
Mississippi,Appalachian St
TAM C. Christi,Kennesaw
Presbyterian,St Peter's
La Salle,Long Beach St
South Alabama,Gonzaga
Wagner,TX Southern
Ohio St,Penn St
Penn,Southern Miss
Niagara,Mt St Mary's
Marquette,Towson
Arkansas,North Carolina
CS Sacramento,St Joseph's PA
Augusta,UC Davis
Liberty,Richmond
Wright St,Coppin St
UNC Wilmington,Alabama A&M
Syracuse,Indiana
Rice,Morris Brown
Houston,Brooklyn
East Texas A&M,Princeton
MS Valley St,Alabama
BYU,St Thomas MN
N Kentucky,Hofstra
NJIT,Howard
North Texas,Mercyhurst
UC Irvine,New Mexico St
Louisville,Savannah St
UNC Asheville,WI Milwaukee
American Univ,Lafayette
Iona,Maine
Drake,St Bonaventure
Old Dominion,Rutgers
Cent Arkansas,North Alabama
Fresno St,Stony Brook
Santa Clara,W Carolina
Gardner Webb,Boston College
Holy Cross,Norfolk St
Canisius,Kennesaw
Colorado,Oral Roberts
Monmouth NJ,Iona
Sacred Heart,Florida Intl
Binghamton,NC State
UTRGV,G Washington
Queens NC,Howard
UTEP,West Virginia
St Francis NY,Florida St
E Kentucky,American Univ
WI Milwaukee,MD E Shore
San Jose St,Virginia
Kentucky,Northeastern
W Illinois,G Washington
S Carolina St,Alabama
Missouri KC,St Francis NY
Montana St,Idaho St
Oklahoma St,Chattanooga
MTSU,Liberty
Florida Intl,Wisconsin
Alabama A&M,Appalachian St
West Georgia,Elon
Vanderbilt,Gonzaga
Cal Poly,Wake Forest
TAM C. Christi,SC Upstate
Ark Little Rock,Duquesne
UNLV,Utah Tech
Belmont,Chattanooga
New Orleans,Austin Peay
Ohio,Rhode Island
Mercyhurst,SUNY Albany
Indiana St,Hartford
McNeese St,Armstrong St
Fordham,Southern Utah
San Diego St,Rider
CS Bakersfield,Sacred Heart
Nevada,Evansville
UNLV,N Illinois
Arizona,Portland St
Tulane,Arkansas
West Georgia,Arkansas St
Florida St,Fresno St
Old Dominion,Mississippi St
South Dakota,G Washington
Houston Chr,Gardner Webb
High Point,Illinois
USC,Tennessee Tech
Arizona,UT San Antonio
Lipscomb,UCLA
Kansas St,Kent
Richmond,Oakland
Maine,Ball St
Grambling,SE Missouri St
Northwestern LA,New Mexico
Iona,Arkansas
Cal Baptist,Cent Arkansas
Tarleton St,Le Moyne
Rider,Kennesaw
Bryant,Quinnipiac
Savannah St,WI Milwaukee
North Florida,Penn St
Sam Houston St,IUPUI
Tennessee St,Mt St Mary's
Boston Univ,Okla City
Seattle,N Colorado
Hardin-Simmons,Idaho St
Wichita St,Texas St
Syracuse,Boston College
Bowling Green,Stonehill
St Peter's,Houston
Cleveland St,Wright St
North Dakota,Utah Tech
Kennesaw,Fresno St
Utah,Utah Valley
Long Beach St,Incarnate Word
Lindenwood,South Carolina
Northern Arizona,St Mary's CA
Tennessee St,Citadel
Binghamton,Oral Roberts
E Kentucky,Hartford
WI Green Bay,Valparaiso
Merrimack,San Diego
MS Valley St,Coppin St
Virginia,Chicago St
IUPUI,FL Atlantic
St Peter's,Louisville
Michigan St,N Dakota St
Montana St,New Orleans
Bradley,Sacred Heart
Lehigh,UNC Asheville
Manhattan,Armstrong St
Notre Dame,Cornell
Denver,Southern Utah
Furman,Missouri KC
Bowling Green,Minnesota
Charleston So,UT San Antonio
Lipscomb,Augusta
E Kentucky,C Michigan
Sam Houston St,Northern Arizona
Le Moyne,Purdue
Boise St,High Point
Morehead St,Navy
Ohio St,SE Missouri St
St John's,Kentucky
Georgia,Ark Little Rock
South Dakota,Akron
Dartmouth,North Florida
NC Central,Southern Utah
New Mexico St,Robert Morris
Marshall,NC State
NC State,Illinois St
Mt St Mary's,Stonehill
Siena,WI Green Bay
Yale,Washington
UC Santa Barbara,TX Southern
Boston Univ,East Carolina
Lipscomb,Long Beach St
Yale,Houston Chr
Radford,Jacksonville St
Texas Tech,St Peter's
Bradley,Dartmouth
Hawaii,St Louis
Armstrong St,Nicholls St
Georgia St,South Carolina
Texas,CS Northridge
UC Riverside,Hofstra
Buffalo,NC State
Loyola MD,UCF
UC Davis,Alcorn St
SC Upstate,Yale
Fairfield,Alabama St
Monmouth NJ,Bellarmine
Xavier,Lehigh
St Francis NY,Lamar
MA Lowell,Missouri St
Kent,UAB
Southern Miss,Penn
W Illinois,Pepperdine
Cornell,Morgan St
NJIT,Rhode Island
Lipscomb,N Dakota St
Portland,UTEP
Utah Tech,Cincinnati
Jackson St,South Carolina
St Peter's,N Illinois
Cal Baptist,UNLV
Valparaiso,Utica
Montana St,Hardin-Simmons
Virginia,Indiana St
Lindenwood,North Carolina
Texas,Cincinnati
San Diego,Montana
N Illinois,Coppin St
Merrimack,Alabama A&M
Tulsa,San Diego St
Richmond,Cent Arkansas
CS Fullerton,Texas Tech
Radford,N Illinois
Campbell,Minnesota
Lipscomb,Nebraska
G Washington,Dartmouth
Utah,Missouri KC
Maine,WI Milwaukee
Air Force,Buffalo
Radford,Mt St Mary's
Illinois,Cincinnati
Wichita St,Connecticut
UAB,Xavier
Nicholls St,VCU
Siena,NE Illinois
Northwestern LA,UTRGV
Texas Tech,Loyola-Chicago
Holy Cross,BYU
F Dickinson,Abilene Chr
E Michigan,UTEP
LIU Brooklyn,Wyoming
Drake,St Bonaventure
N Dakota St,W Salem St
DePaul,NE Omaha
Le Moyne,MS Valley St
South Florida,Queens NC
Southern Utah,Coastal Car
Tarleton St,Iowa
NC State,Nicholls St
Bellarmine,New Mexico
Coppin St,CS Bakersfield
New Mexico St,Elon
Air Force,Bucknell
Northwestern LA,Illinois
N Colorado,Missouri
NC State,Prairie View
Utah Tech,Navy
S Dakota St,Niagara
Seton Hall,Birmingham So
Wisconsin,Louisiana
Detroit,UC Davis
Penn St,Mississippi St
UT San Antonio,Monmouth NJ
South Florida,Jacksonville
New Mexico,Jacksonville
Syracuse,Cornell
Murray St,East Carolina
Nicholls St,Mercyhurst
Utica,NC State
Portland St,IL Chicago
Alcorn St,ETSU
Michigan,East Carolina
Bryant,Morris Brown
Akron,WKU
Gardner Webb,Providence
Kansas,Princeton
New Mexico,Cincinnati
Portland St,Tennessee
Arkansas,Wisconsin
Texas St,Fresno St
Siena,UT Arlington
Abilene Chr,New Orleans
William & Mary,Sam Houston St
UC Davis,ETSU
Idaho,Abilene Chr
UTEP,New Orleans
Appalachian St,FGCU
WKU,E Kentucky
Ark Pine Bluff,Rhode Island
Cincinnati,Louisville
MTSU,St Joseph's PA
Baylor,Oklahoma
Dayton,La Salle
Michigan,Missouri
Radford,Nicholls St
St John's,Temple
Boise St,Tennessee Tech
Cincinnati,Brooklyn
Appalachian St,Rhode Island
NC Central,UC Santa Barbara
Missouri,Birmingham So
Portland,William & Mary
MD E Shore,Brown
Northern Iowa,Penn St
Idaho St,Notre Dame
Seton Hall,Boston College
Georgia,Elon
Seton Hall,S Illinois
Florida Intl,Navy
Lehigh,Wichita St
UC Davis,Youngstown St
E Washington,Southern Utah
USC,Louisiana
New Hampshire,Air Force
Georgetown,Hampton
Jacksonville,Wichita St
Nevada,W Texas A&M
NE Illinois,Incarnate Word
Tennessee,UAB
Cornell,Ohio St
St Peter's,Boise St
Penn,Rutgers
American Univ,MS Valley St
St Louis,N Kentucky
Le Moyne,Appalachian St
UNC Wilmington,Augusta
E Illinois,Savannah St
Long Beach St,James Madison
SIUE,Iowa St
Morehead St,Hofstra
Army,Hardin-Simmons
Arkansas,Yale
W Texas A&M,Harvard
Fresno St,Missouri KC
S Illinois,Rhode Island
Northwestern LA,Maryland
Marist,Alabama A&M
Dayton,Jacksonville
Austin Peay,UT Arlington
UMBC,Southern Miss
Siena,Harvard
Gardner Webb,Charlotte
F Dickinson,IUPUI
Notre Dame,Penn
Detroit,Yale
Mississippi,Citadel
W Illinois,Lehigh
Bethune-Cookman,Citadel
Brown,Hardin-Simmons
Florida St,Northern Arizona
Northeastern,Iowa
Oakland,Ball St
SC Upstate,WKU
W Carolina,Colorado St
SC Upstate,Murray St
San Diego,N Colorado
Miami FL,Quinnipiac
Drake,Pacific
Oklahoma St,Creighton
St Francis NY,Murray St
Coastal Car,Northwestern
Navy,Holy Cross
DePaul,North Alabama
Air Force,UTEP
Drake,Siena
Niagara,Navy
Austin Peay,LIU Brooklyn
Wyoming,Gardner Webb
Southern Utah,Florida A&M
W Carolina,Providence
Wisconsin,McNeese St
Fresno St,James Madison
Northwestern LA,Jacksonville St
Bradley,TCU
SMU,W Michigan
Colgate,Utica
Centenary,South Florida
WKU,Duke
Alabama A&M,Alcorn St
Columbia,TN Martin
Texas,Howard
Morgan St,Texas A&M
Southern Miss,SMU
Montana,S Illinois
Houston,SUNY Albany
Lipscomb,New Mexico St
Louisville,FL Atlantic
San Diego,Nicholls St
WI Milwaukee,Miami OH
Elon,Alliant Intl
Connecticut,North Florida
Bryant,Stetson
Washington St,WKU
Queens NC,Charleston So
Cincinnati,Rhode Island
CS Sacramento,Florida
Marist,Oral Roberts
W Illinois,W Carolina
Samford,Alabama A&M
Maine,UC San Diego
Tarleton St,Miami FL
St Louis,N Dakota St
Rider,High Point
Seattle,Boston Univ
George Mason,Presbyterian
Charleston So,TN Martin
Miami OH,Minnesota
Michigan,New Hampshire
Houston,Villanova
S Dakota St,South Dakota
Utica,Yale
Yale,Duke
Niagara,Army
SF Austin,S Illinois
Jacksonville St,Nevada
Alabama St,CS Fullerton
Rider,Elon
Iowa St,Villanova
James Madison,Minnesota
Maryland,Ball St
Austin Peay,Miami FL
Bradley,Georgia St
MS Valley St,BYU
Oregon,St Joseph's PA
Utah Valley,Montana St
High Point,N Illinois
Stetson,Detroit
VMI,Boston Univ
Utah Tech,High Point
Northeastern,Indiana St
Towson,Incarnate Word
Samford,Akron
Cornell,NE Illinois
Louisiana,UCLA
LIU Brooklyn,Central Conn
UNLV,S Dakota St
West Georgia,Boston Univ
Hampton,Valparaiso
Col Charleston,Seton Hall
Dartmouth,UC Santa Barbara
Chattanooga,Colgate
Houston Chr,Armstrong St
VMI,Abilene Chr
Cornell,Texas
MA Lowell,Dartmouth
Dartmouth,MA Lowell
S Illinois,Quinnipiac
Minnesota,Grambling
UC Riverside,St Mary's CA
E Washington,Florida
Montana,Louisville
IL Chicago,Massachusetts
Weber St,East Carolina
Cincinnati,San Jose St
St Louis,Troy
E Illinois,Morris Brown
Buffalo,S Carolina St
DePaul,UNC Wilmington
Canisius,VCU
Utah Valley,Wisconsin
Niagara,Coastal Car
Alabama St,Missouri St
Fairfield,NC Central
Jackson St,Wyoming
Wagner,N Illinois
Maryland,Auburn
Idaho St,North Alabama
East Carolina,Denver
St Louis,Stetson
C Michigan,Delaware St
WI Milwaukee,Austin Peay
USC,IUPUI
Oklahoma St,Stony Brook
Illinois,Michigan
Marist,ETSU
Marshall,Brown
Nebraska,Ga Southern
Miami FL,Northeastern
Norfolk St,West Virginia
North Carolina,UCLA
Long Beach St,Howard
Memphis,Mississippi
E Kentucky,SUNY Albany
SIUE,Florida A&M
Southern Univ,SC Upstate
Nebraska,Cal Poly
Birmingham So,Rider
Mercer,Evansville
Old Dominion,Pittsburgh
Auburn,MA Lowell
Chattanooga,Providence
Hawaii,Radford
Nevada,NC A&T
Missouri,Coastal Car
Mercyhurst,Dartmouth
James Madison,Lafayette
Cent Arkansas,TX Southern
San Diego,Oral Roberts
Houston,St Francis NY
Army,Louisville
Wichita St,Stetson
St Peter's,Notre Dame
W Michigan,MD E Shore
St Thomas MN,NJIT
Richmond,Notre Dame
Iowa,Davidson
Penn,Nevada
TN Martin,Morgan St
Florida St,UNC Asheville
Florida A&M,American Univ
Centenary,ETSU
Nicholls St,Washington St
Kansas St,Missouri KC
N Colorado,UCLA
Campbell,Samford
Army,Stetson
CS Fullerton,Coppin St
Merrimack,Clemson
UCLA,Colgate
Georgia,Arkansas
Chattanooga,Toledo
Tennessee,South Dakota
NC A&T,Belmont
Penn St,Ga Southern
Tulane,Howard
Tennessee St,Grambling
American Univ,St Francis PA
Washington St,Grand Canyon
Augusta,Arizona
CS Bakersfield,Appalachian St
Gonzaga,Mississippi
Coastal Car,South Alabama
Xavier,TAM C. Christi
American Univ,Chicago St
Towson,Indiana
Lafayette,Portland St
Okla City,South Florida
WI Green Bay,UT Arlington
San Diego St,Iona
Richmond,Fresno St
UC Riverside,South Carolina
MS Valley St,UMBC
Chattanooga,Florida Intl
Loy Marymount,E Washington
Grambling,Bradley
South Carolina,Louisiana
Marshall,Mercer
UT San Antonio,TX Southern
Oral Roberts,TCU
UNLV,Tennessee St
Morgan St,N Illinois
Wright St,Cal Poly
NE Omaha,Northern Iowa
Liberty,UCLA
SUNY Albany,Nebraska
Missouri St,Gonzaga
Arizona,Virginia Tech
Rutgers,TAM C. Christi
Pepperdine,Norfolk St
New Hampshire,Cent Arkansas
UC Santa Barbara,Cal Baptist
SUNY Albany,Buffalo
MA Lowell,Long Beach St
TN Martin,WI Milwaukee
Missouri KC,SIUE
Northern Iowa,Miami OH
Merrimack,CS Northridge
Auburn,Tulsa
Bradley,N Dakota St
Missouri KC,Le Moyne
Ohio St,Northern Iowa
Rice,NC A&T
Brooklyn,UT Arlington
UC San Diego,UC Davis
Georgetown,Rutgers
Evansville,Arizona St
UNC Wilmington,Boise St
Minnesota,Mt St Mary's
New Mexico St,Oakland
Grambling,Houston
Armstrong St,Texas
BYU,Chicago St
Purdue,Delaware St
Tennessee Tech,Akron
Pacific,Oklahoma
Ball St,Loyola MD
ULM,Tennessee St
Centenary,Army
Charlotte,Mt St Mary's
Wright St,ETSU
Georgetown,Maine
UT San Antonio,WI Milwaukee
Queens NC,Portland St
Iona,St Mary's CA
Richmond,Northeastern
American Univ,WKU
MD E Shore,N Illinois
ULM,Colorado
Cleveland St,Pepperdine
George Mason,N Dakota St
N Dakota St,MS Valley St
Oral Roberts,Stony Brook
Sam Houston St,N Colorado
S Carolina St,TCU
Northwestern,Boston Univ
St Mary's CA,Georgia St
Utah St,Stetson
St Francis NY,High Point
Southern Univ,Delaware
Austin Peay,Florida A&M
Ga Southern,Austin Peay
North Florida,Murray St
NC State,James Madison
Central Conn,William & Mary
Hartford,Syracuse
High Point,UCLA
Clemson,Abilene Chr
Old Dominion,E Illinois
Texas,Oral Roberts
Indiana St,Missouri St
Sacred Heart,VCU
UT San Antonio,VCU
St Francis PA,Gonzaga
Oral Roberts,Mercer
Missouri KC,Boston College
Baylor,SE Missouri St
Georgetown,Arkansas
Kennesaw,Illinois St
Idaho,NC A&T
Bethune-Cookman,Montana
Pittsburgh,Loyola MD
NJIT,TAM C. Christi
Mercyhurst,Presbyterian
Siena,USC
Miami OH,Sam Houston St
Connecticut,Cent Arkansas
Incarnate Word,UTEP
Rutgers,Long Beach St
Tennessee,Wisconsin
Wagner,Jacksonville
Clemson,Arkansas
E Michigan,Sacred Heart
Michigan,Florida
S Illinois,WKU
Brooklyn,Missouri St
Howard,Wagner
Richmond,Missouri
Stonehill,FGCU
Bradley,TN Martin
Oklahoma St,Georgia
F Dickinson,Brooklyn
Louisville,ULM
Fairfield,Coppin St
Miami FL,VMI
Idaho St,Pittsburgh
Idaho,Houston
Washington St,Detroit
Howard,Siena
Seton Hall,Rider
Utica,Syracuse
Miami FL,NC A&T
Coastal Car,N Illinois
Incarnate Word,Evansville
G Washington,Virginia
Jacksonville St,Florida St
Auburn,Iowa
Iona,Cincinnati
SMU,Virginia
San Jose St,Northeastern
Cent Arkansas,Prairie View
Texas Tech,Wagner
Denver,Indiana St
McNeese St,North Alabama
UNC Greensboro,Iowa
Delaware,Washington St
UC Davis,Nevada
St Thomas MN,Richmond
Stonehill,Appalachian St
Delaware St,High Point
James Madison,Seattle
Houston Chr,N Colorado
Hardin-Simmons,Old Dominion
Cent Arkansas,Marquette
Towson,Georgetown
Longwood,La Salle
UT Arlington,Rhode Island
MA Lowell,Houston Chr
Cincinnati,Iowa St
SUNY Albany,CS Northridge
Louisville,Oregon
Lehigh,New Orleans
Okla City,Tulsa
Tennessee St,Florida
Ball St,La Salle
W Salem St,Louisville
MS Valley St,W Carolina
BYU,E Illinois
Seattle,Arizona St
